stock_no,name,currency,volume,close
462,NATURAL DAIRY,HKD,0,
464,C OVS NUOXIN,HKD,0,1.78
465,FUTONG TECH,HKD,4000,0.66
467,UNITEDENERGY GP,HKD,4747472,1.6
468,GAPACK,HKD,121000,3.6
469,CAPXON INT'L,HKD,1396000,0.42
471,CMMB VISION,HKD,514230,1.09
472,NEW SILKROAD,HKD,170000,0.4
474,HAO TIAN DEV,HKD,0,0.208
475,CENTRAL DEV H,HKD,56000,0.85
476,CH DYNAMICS,HKD,670000,0.099
479,CIL HOLDINGS,HKD,1400000,0.015
480,HKR INT'L,HKD,322400,3.24
482,SANDMARTIN INTL,HKD,2378000,0.08
483,BAUHAUS INT'L,HKD,0,0.9
484,FORGAME,HKD,13800,3.46
485,CHINASINOSTAR,HKD,2960000,0.032
486,RUSAL,HKD,2062000,3.79
487,SUCCESSUNIVERSE,HKD,328000,0.201
488,LAI SUN DEV,HKD,178600,10.12
489,DONGFENG GROUP,HKD,6098000,7.54
491,EMPEROR CULTURE,HKD,2700000,0.081
493,GOME RETAIL,HKD,42926260,0.73
494,LI &amp; FUNG,HKD,27248464,0.87
495,PALADIN,HKD,0,0.16
496,KASEN,HKD,2818000,3.66
497,CSI PROPERTIES,HKD,3260000,0.285
498,PYI CORP,HKD,3504000,0.089
499,QINGDAO HLDGS,HKD,0,0.58
500,FRONTIER SER,HKD,887047,0.75
503,LANSEN PHARMA,HKD,293000,0.85
505,HUAN YUE INTER,HKD,12000,0.63
506,CHINA FOODS,HKD,786000,3.02
508,DINGYI GP INV,HKD,820000,0.245
509,SUNSHINE,HKD,3080000,0.222
510,CASH FIN SER GP,HKD,10866000,0.041
511,TVB,HKD,272500,12.18
512,CHINAGRANDPHARM,HKD,2249760,4.35
513,CONTINENTAL H,HKD,60000,0.082
515,TC ORI LIGHT,HKD,366000,0.088
517,COSCO SHIP INTL,HKD,1192000,2.07
518,TUNGTEX (HOLD),HKD,258000,0.52
519,APPLIED DEV,HKD,135000,0.215
520,XIABUXIABU,HKD,4265142,9.65
521,CWT INT'L,HKD,0,
522,ASM PACIFIC,HKD,1258345,113.7
524,GREAT WALL B&amp;R,HKD,470800,0.148
525,GUANGSHEN RAIL,HKD,3406000,2.55
526,CHINA AUTO NR,HKD,8608000,0.86
527,RUIFENG RENEW,HKD,1508000,0.295
528,KINGDOM HOLDING,HKD,258000,1.71
529,SIS INT'L,HKD,14000,3.05
530,GOLDIN FIN HOLD,HKD,596000,1.75
531,SAMSON HOLDING,HKD,270000,0.42
532,WKK INTL (HOLD),HKD,0,0.7
533,GOLDLION HOLD,HKD,21000,2.38
535,GEMDALE PPT,HKD,11454000,1.06
536,TRADELINK,HKD,492000,1.14
538,AJISEN (CHINA),HKD,478000,2.74
539,VICTORY CITY,HKD,5670900,0.255
540,SPEEDY GLOBAL,HKD,0,0.247
542,TFG INTL GP,HKD,0,0.265
543,PACIFIC ONLINE,HKD,304375,1.75
544,DAIDO GROUP,HKD,220000,0.032
546,FUFENG GROUP,HKD,3890000,3.61
547,DIGITAL DOMAIN,HKD,12674560,0.071
548,SHENZHENEXPRESS,HKD,2032170,11.52
550,KK CULTURE,HKD,10000,0.89
551,YUE YUEN IND,HKD,317704,23.25
552,CHINACOMSERVICE,HKD,14959800,5.67
553,NANJING PANDA,HKD,1480000,4.69
554,HANS ENERGY,HKD,710000,0.285
555,REXLOT HOLDINGS,HKD,0,
556,PAN ASIA ENVIRO,HKD,8000,0.79
557,TIANYUAN HEALTH,HKD,264000,0.65
558,LK TECH,HKD,2057500,0.475
559,DETAI NEWENERGY,HKD,4950000,0.018
560,CHU KONG SHIP,HKD,232000,1.32
563,SH IND URBAN,HKD,15130375,1.02
564,ZMJ,HKD,622400,4.1
565,ART GROUP HOLD,HKD,0,0.3
567,DAISHOMICROLINE,HKD,10000,0.12
568,SHANDONG MOLONG,HKD,506400,1.01
570,TRAD CHI MED,HKD,7360440,3.75
571,ESUN HOLDINGS,HKD,86000,1.12
572,FUTURE WORLD FH,HKD,6320528,0.039
573,TAO HEUNG HLDGS,HKD,72000,1.29
574,PASHUN INT'L,HKD,2060000,0.113
575,REGENT PACIFIC,HKD,1183167,0.126
576,ZHEJIANGEXPRESS,HKD,2834665,7.22
577,SOUTH SHORE HLD,HKD,193514,0.094
578,ROSAN RES,HKD,210000,0.05
579,JNCEC,HKD,2114000,1.37
580,SUN.KING ELEC,HKD,2456000,1.15
581,CHINA ORIENTAL,HKD,5066000,3.36
582,LANDING INTL,HKD,1799600,0.92
583,GWPA HOLDINGS,HKD,872000,0.83
585,IMAGI INT'L,HKD,30200,0.87
586,CONCH VENTURE,HKD,13735149,35.4
587,HUA HAN HEALTH,HKD,0,
588,BEIJING N STAR,HKD,4702000,2.59
590,LUK FOOK HOLD,HKD,312000,22.75
591,C HIGHPRECISION,HKD,0,
592,BOSSINI INT'L,HKD,250000,0.194
593,DREAMEAST,HKD,0,4.83
595,AV CONCEPT HOLD,HKD,0,
596,INSPUR INT'L,HKD,1380000,3.18
598,SINOTRANS,HKD,5674000,2.71
599,E. BON HOLDINGS,HKD,0,0.41
600,CHINA INFRA INV,HKD,508000,0.04
601,REMT,HKD,6340000,0.315
602,JIAHUA STORES H,HKD,2500,0.26
603,CHINA OIL &amp; GAS,HKD,5824000,0.315
604,SHENZHEN INVEST,HKD,3026962,3.16
605,C FIN SERVICES,HKD,0,0.42
606,CHINA AGRI,HKD,10383429,4.14
607,FULLSHARE,HKD,73617500,0.18
608,HIGH FASHION,HKD,0,1.92
609,TIANDE CHEMICAL,HKD,0,0.73
610,WAI KEE HOLD,HKD,256000,4.96
611,CNE TECH CORP,HKD,518000,0.295
612,CHINA DYF,HKD,0,
613,PLANETREE INT'L,HKD,460000,0.128
616,EMINENCE ENT,HKD,10743150,0.024
618,PKU RESOURCES,HKD,410000,0.206
